[0.016, 0.018, 0.02, 0.022, 0.024, 0.28]
[0.02, 0.0225, 0.025, 0.0275, 0.03, 0.035]
[0.024, 0.027, 0.03, 0.033, 0.036, 0.042]
[0.032, 0.36, 0.4, 0.44, 0.48, 0.56]
[0.04, 0.045, 0.05, 0.055, 0.06, 0.07]
[0.048, 0.054, 0.06, 0.066, 0.072, 0.084]
[0.056, 0.063, 0.07, 0.077, 0.084, 0.098]
[0.064, 0.072, 0.08, 0.088, 0.096, 0.112]
[0.08, 0.09, 0.1, 0.11, 0.12, 0.14]
[0.088, 0.099, 0.11, 0.121, 0.132, 0.154]
[0.096, 0.108, 0.12, 0.132, 0.144, 0.168]
[0.112, 0.126, 0.14, 0.154, 0.168, 0.196]
[0.112, 0.126, 0.149, 0.154, 0.168, 0.196]
[0.128, 0.144, 0.16, 0.176, 0.192, 0.224]
[0.144, 0.162, 0.18, 0.198, 0.216, 0.252]
[0.16, 0.18, 0.2, 0.22, 0.24, 0.28]
[0.168, 0.189, 0.21, 0.231, 0.252, 0.294]
[0.192, 0.216, 0.24, 0.264, 0.288, 0.336]
[0.224, 0.252, 0.28, 0.308, 0.336, 0.392]
[0.24, 0.27, 0.3, 0.33, 0.36, 0.42]
[0.256, 0.288, 0.32, 0.352, 0.384, 0.448]
[0.264, 0.297, 0.33, 0.363, 0.396, 0.462]
[0.32, 0.36, 0.4, 0.44, 0.48, 0.56]
[0.384, 0.432, 0.48, 0.528, 0.576, 0.672]
[0.48, 0.54, 0.6, 0.66, 0.72, 0.84]
[0.56, 0.63, 0.7, 0.77, 0.84, 0.98]
[0.576, 0.648, 0.72, 0.792, 0.864, 1.008]
[0.64, 0.72, 0.8, 0.88, 0.96, 1.12]
[0.672, 0.756, 0.84, 0.924, 1.008, 1.176]
[1.2, 1.35, 1.5, 1.65, 1.8, 2.1]
[1.92, 2.16, 2.4, 2.64, 2.88, 3.36]
[16, 18, 20, 22, 24, 28]
[27, 33, 40, 46, 52, 62]
[34, 42, 50, 58, 66, 78]
[40, 45, 50, 55, 60, 70]
[48, 54, 60, 66, 72, 84]
